train/success_rate,test/success_rate,epoch,stats_o/mean,stats_g/std,stats_g/mean,test/episode,test/mean_Q,train/episode,stats_o/std
0.12333333333333334,0.31666666666666665,36,0.18321913480758667,0.181181862950325,0.7991107106208801,740.0,-14.98279094696045,3700.0,0.09954085946083069
0.09999999999999999,0.2833333333333334,37,0.183261439204216,0.18259237706661224,0.7991578578948975,760.0,-14.886955261230469,3800.0,0.10081061720848083
0.08666666666666667,0.35000000000000003,38,0.18343275785446167,0.1833244413137436,0.7995427250862122,780.0,-13.217674255371094,3900.0,0.10193995386362076
0.14,0.26666666666666666,39,0.18354062736034393,0.183671772480011,0.7999834418296814,800.0,-16.706199645996094,4000.0,0.10239840298891068
0.1366666666666667,0.3,40,0.18372595310211182,0.1835925132036209,0.8007009625434875,820.0,-15.985942840576172,4100.0,0.10268357396125793
0.12666666666666668,0.26666666666666666,41,0.1838371902704239,0.18328188359737396,0.8011140823364258,840.0,-16.707624435424805,4200.0,0.10306176543235779
0.12666666666666668,0.31666666666666665,42,0.18394775688648224,0.1833467334508896,0.8016369342803955,860.0,-14.2630615234375,4300.0,0.10325625538825989
0.15333333333333335,0.3499999999999999,43,0.1840355545282364,0.18281878530979156,0.8021171689033508,880.0,-13.967845916748047,4400.0,0.10333473235368729
0.15333333333333335,0.31666666666666665,44,0.18419094383716583,0.18255771696567535,0.8026545643806458,900.0,-15.868992805480957,4500.0,0.103352852165699
0.15,0.25,45,0.1843612939119339,0.18236573040485382,0.8031938672065735,920.0,-15.607406616210938,4600.0,0.1032894030213356
0.19999999999999998,0.3499999999999999,46,0.18457753956317902,0.18185992538928986,0.803883969783783,940.0,-14.153416633605957,4700.0,0.10308011621236801
0.18000000000000002,0.35000000000000003,47,0.18472601473331451,0.18185202777385712,0.8043134212493896,960.0,-14.484362602233887,4800.0,0.10318795591592789
0.16666666666666666,0.3666666666666667,48,0.1848325878381729,0.18155936896800995,0.8048515319824219,980.0,-12.361815452575684,4900.0,0.10312332957983017
0.17333333333333334,0.3499999999999999,49,0.1849878579378128,0.18132595717906952,0.805458128452301,1000.0,-14.643927574157715,5000.0,0.1031852439045906
