test/mean_Q,test/success_rate,stats_o/mean,train/episode,stats_g/std,test/episode,epoch,train/success_rate,stats_g/mean,stats_o/std
-19.99306297302246,0.11666666666666665,0.2042943388223648,1600.0,0.09880324453115463,320.0,15,0.11,0.8464136719703674,0.0715334340929985
-19.7069091796875,0.11666666666666665,0.20435135066509247,1700.0,0.09899956732988358,340.0,16,0.11333333333333334,0.8464248180389404,0.07499697059392929
-19.71674156188965,0.15,0.20432698726654053,1800.0,0.09974095225334167,360.0,17,0.12333333333333334,0.8460774421691895,0.07834617793560028
-18.99464988708496,0.11666666666666665,0.2043045163154602,1900.0,0.10065418481826782,380.0,18,0.05000000000000001,0.8458479046821594,0.08127260953187943
-20.20389747619629,0.11666666666666665,0.20414669811725616,2000.0,0.10132207721471786,400.0,19,0.12,0.8457252979278564,0.08382181078195572
-17.90064239501953,0.18333333333333335,0.20425494015216827,2100.0,0.10136914998292923,420.0,20,0.19666666666666666,0.8456714153289795,0.08617094904184341
-19.380138397216797,0.11666666666666665,0.20433467626571655,2200.0,0.10182621330022812,440.0,21,0.15333333333333335,0.8457767367362976,0.0878978744149208
-15.177042961120605,0.2833333333333334,0.2044593244791031,2300.0,0.10172781348228455,460.0,22,0.17666666666666667,0.845870316028595,0.08976853638887405
-18.519868850708008,0.2833333333333334,0.2044166773557663,2400.0,0.10166337341070175,480.0,23,0.21666666666666667,0.8458768725395203,0.09081753343343735
-16.868589401245117,0.3333333333333333,0.20450790226459503,2500.0,0.10211580991744995,500.0,24,0.18000000000000002,0.845879077911377,0.09240744262933731
-17.75377655029297,0.35000000000000003,0.20455239713191986,2600.0,0.10287193208932877,520.0,25,0.22333333333333336,0.8458033204078674,0.09399517625570297
-20.73781394958496,0.21666666666666667,0.20466215908527374,2700.0,0.10311686992645264,540.0,26,0.27666666666666667,0.8460944294929504,0.09589795023202896
-19.11723518371582,0.23333333333333336,0.20465420186519623,2800.0,0.1034204438328743,560.0,27,0.27666666666666667,0.8460659384727478,0.09710953384637833
-15.94619083404541,0.4000000000000001,0.20461881160736084,2900.0,0.10368579626083374,580.0,28,0.30333333333333334,0.846125602722168,0.09838303178548813
-11.906371116638184,0.5833333333333334,0.20450226962566376,3000.0,0.10355915874242783,600.0,29,0.2733333333333334,0.8461301326751709,0.09928897023200989
-19.878154754638672,0.4166666666666667,0.204404816031456,3100.0,0.10358180850744247,620.0,30,0.31,0.8461527228355408,0.09981835633516312
-19.63713836669922,0.3833333333333333,0.20418696105480194,3200.0,0.10361871123313904,640.0,31,0.35333333333333333,0.8460289835929871,0.10074969381093979
-17.96320915222168,0.3833333333333333,0.20402751863002777,3300.0,0.10380718857049942,660.0,32,0.2966666666666667,0.8458029627799988,0.10201850533485413
-18.009103775024414,0.4166666666666667,0.2039250135421753,3400.0,0.10377427935600281,680.0,33,0.36000000000000004,0.8456864953041077,0.10299093276262283
-14.661837577819824,0.5166666666666666,0.20377539098262787,3500.0,0.10394424945116043,700.0,34,0.33666666666666667,0.8456529974937439,0.10400261729955673
-19.042583465576172,0.39999999999999997,0.2037370651960373,3600.0,0.10405343025922775,720.0,35,0.3566666666666667,0.8456787467002869,0.10464790463447571
-18.0101375579834,0.43333333333333335,0.2037234753370285,3700.0,0.10421069711446762,740.0,36,0.4033333333333333,0.8456752300262451,0.10535789281129837
-17.281099319458008,0.48333333333333334,0.2036292999982834,3800.0,0.10397433489561081,760.0,37,0.39999999999999997,0.845690906047821,0.10585370659828186
-18.37929916381836,0.5166666666666667,0.203574538230896,3900.0,0.1040913462638855,780.0,38,0.3666666666666667,0.8456924557685852,0.10655084252357483
-15.264939308166504,0.5666666666666667,0.20352770388126373,4000.0,0.10385501384735107,800.0,39,0.39999999999999997,0.8456552028656006,0.10718219727277756
-15.70949649810791,0.5499999999999999,0.20349080860614777,4100.0,0.10393724590539932,820.0,40,0.4466666666666666,0.8457580208778381,0.10767927020788193
-15.633834838867188,0.55,0.20345695316791534,4200.0,0.10380879789590836,840.0,41,0.44,0.8457642197608948,0.10819238424301147
-17.198057174682617,0.48333333333333334,0.20343931019306183,4300.0,0.10353517532348633,860.0,42,0.4366666666666667,0.8458209037780762,0.10860579460859299
